編號,材料黏度 (cps),形狀,抬升高度(μm),抬升速度(μm/s),等待時間(s),下降速度((μm)/s),面積(mm?),周長(mm),水力直徑(mm),回流（完全是0不完全是1）,荷重元最大值_Fmax,波峰後斜率_Slope,曲線面積_Area
0,150,90x45矩形,1500,400,0.5,8000,4034.83,269.6,59.86,1,7699.356000000001,-21640.239999999954,12216.4586
1,150,90x45矩形,1500,400,0.5,8000,4034.83,269.6,59.86,1,7985.748,-24520.72000000017,13058.881199999996
2,150,90x45矩形,1500,400,0.5,8000,4034.83,269.6,59.86,1,8228.126,-20434.259999999653,13637.1195
3,150,90x45矩形,1500,400,0.5,8000,4034.83,269.6,59.86,1,9440.818,-24832.33999999879,15415.274
4,150,90x45矩形,1500,400,0.5,8000,4034.83,269.6,59.86,1,9693.45,-28084.65999999962,15538.822999999988
5,150,90x45矩形,1500,400,0.5,8000,4034.83,269.6,59.86,1,9709.946,-24460.850000000977,14898.927999999987
6,150,90x45矩形,1500,400,0.5,8000,4034.83,269.6,59.86,1,10177.748,-23408.15999999773,16105.851699999996
7,150,90x45矩形,1500,400,0.5,8000,4034.83,269.6,59.86,1,10481.512,-27739.13999999736,16663.384000000002
8,150,90x45矩形,1500,400,0.5,8000,4034.83,269.6,59.86,1,10711.068,-29379.059999994788,17143.32099999999
9,150,90x45矩形,1500,400,0.5,8000,4034.83,269.6,59.86,1,10309.986,-7897.740000000199,17938.973400000006
10,150,90x45矩形,1500,700,0.5,8000,4034.83,269.6,59.86,1,10315.732,-2820.389999999994,15890.879699999998
11,150,90x45矩形,1500,700,0.5,8000,4034.83,269.6,59.86,1,10567.14,-8910.989999999945,15242.624499999998
12,150,90x45矩形,1500,700,0.5,8000,4034.83,269.6,59.86,1,11353.608,-3251.539999999964,19223.2217
13,150,90x45矩形,1500,700,0.5,8000,4034.83,269.6,59.86,1,10960.702,-21248.740000000293,17072.556899999996
14,150,90x45矩形,1500,700,0.5,8000,4034.83,269.6,59.86,1,11287.164,-13318.360000000404,18743.97769999999
15,150,90x45矩形,1500,700,0.5,8000,4034.83,269.6,59.86,1,11384.252,-9187.669999999744,19282.524599999982
16,150,90x45矩形,1500,700,0.5,8000,4034.83,269.6,59.86,1,11460.9,-11399.409999999189,19280.508500000004
17,150,90x45矩形,1500,700,0.5,8000,4034.83,269.6,59.86,1,11481.014,-19642.509999997703,19035.962700000007
18,150,90x45矩形,1500,700,0.5,8000,4034.83,269.6,59.86,1,11395.312,-19464.799999998915,18809.972100000017
19,150,90x45矩形,1500,700,0.5,8000,4034.83,269.6,59.86,1,11440.854,-23743.630000000736,18707.97630000001
20,150,90x45矩形,1500,1000,0.5,8000,4034.83,269.6,59.86,1,8248.24,-21322.91999999984,9113.3775
21,150,90x45矩形,1500,1000,0.5,8000,4034.83,269.6,59.86,1,8758.648,-15824.680000000277,9903.640900000002
22,150,90x45矩形,1500,1000,0.5,8000,4034.83,269.6,59.86,1,9706.55,-25078.89,12310.682500000006
23,150,90x45矩形,1500,1000,0.5,8000,4034.83,269.6,59.86,1,9578.646,-23902.819999999807,10649.598500000002
24,150,90x45矩形,1500,1000,0.5,8000,4034.83,269.6,59.86,1,9664.344,-27092.64999999958,10735.026599999988
25,150,90x45矩形,1500,1000,0.5,8000,4034.83,269.6,59.86,1,9934.91,-27575.010000000184,10228.002499999991
26,150,90x45矩形,1500,1000,0.5,8000,4034.83,269.6,59.86,1,10550.492,-27430.109999997847,12009.900200000013
27,150,90x45矩形,1500,1000,0.5,8000,4034.83,269.6,59.86,1,10617.81,-25863.5200000002,11836.243500000008
28,150,90x45矩形,1500,1000,0.5,8000,4034.83,269.6,59.86,1,10259.124,-18281.340000000702,12072.15749999998
29,150,90x45矩形,1500,1000,0.5,8000,4034.83,269.6,59.86,1,9806.042,-12269.08000000037,12161.111500000006
30,150,90x45矩形,1500,400,1.0,8000,4034.83,269.6,59.86,1,10505.584,-2132.5999999999985,13366.8471
31,150,90x45矩形,1500,400,1.0,8000,4034.83,269.6,59.86,1,10756.642,-15724.279999999624,13119.2844
32,150,90x45矩形,1500,400,1.0,8000,4034.83,269.6,59.86,1,11548.142,-4044.579999999988,15825.3139
33,150,90x45矩形,1500,400,1.0,8000,4034.83,269.6,59.86,1,11587.734,-15740.419999999956,15821.632199999998
34,150,90x45矩形,1500,400,1.0,8000,4034.83,269.6,59.86,1,11580.986,-4307.689999999991,16125.396300000011
35,150,90x45矩形,1500,400,1.0,8000,4034.83,269.6,59.86,1,11584.706,-6237.590000000242,15927.597700000011
36,150,90x45矩形,1500,400,1.0,8000,4034.83,269.6,59.86,1,11665.616,-6694.869999999663,16103.93569999998
37,150,90x45矩形,1500,400,1.0,8000,4034.83,269.6,59.86,1,11559.91,-22667.1799999989,15943.296000000018
38,150,90x45矩形,1500,400,1.0,8000,4034.83,269.6,59.86,1,11520.088,-18632.5100000004,15179.357599999998
39,150,90x45矩形,1500,400,1.0,8000,4034.83,269.6,59.86,1,11573.934,-15001.330000000433,16090.952300000004
40,150,90x45矩形,1500,700,1.0,8000,4034.83,269.6,59.86,1,7675.584,-18044.949999999848,12552.2639
41,150,90x45矩形,1500,700,1.0,8000,4034.83,269.6,59.86,1,8066.300000000001,-19900.82000000012,13350.299499999996
42,150,90x45矩形,1500,700,1.0,8000,4034.83,269.6,59.86,1,9132.334,-14334.789999999732,15724.614899999997
43,150,90x45矩形,1500,700,1.0,8000,4034.83,269.6,59.86,1,9329.28,-16833.069999999283,15842.445500000002
44,150,90x45矩形,1500,700,1.0,8000,4034.83,269.6,59.86,1,9321.51,-25917.589999997323,15154.625500000004
